ENSMUSG00000000394
ENSMUSG00000042258
ENSMUSG00000047139
ENSMUSG00000064177
ENSMUSG00000031099
ENSMUSG00000023067
ENSMUSG00000031093
ENSMUSG00000035000
ENSMUSG00000019987
ENSMUSG00000059401
ENSMUSG00000022054
ENSMUSG00000028207
ENSMUSG00000027524
ENSMUSG00000073295
ENSMUSG00000057561
ENSMUSG00000027570
ENSMUSG00000028173
ENSMUSG00000022885
ENSMUSG00000051209
ENSMUSG00000029119
ENSMUSG00000016256
ENSMUSG00000071113
ENSMUSG00000033306
ENSMUSG00000037013
ENSMUSG00000035277
ENSMUSG00000038112
ENSMUSG00000055430
ENSMUSG00000026110
ENSMUSG00000089704
ENSMUSG00000071178
ENSMUSG00000035133
ENSMUSG00000006373
ENSMUSG00000021069
ENSMUSG00000045594
ENSMUSG00000000214
ENSMUSG00000052595
ENSMUSG00000013921
ENSMUSG00000054667
ENSMUSG00000021238
ENSMUSG00000025630
ENSMUSG00000007891
ENSMUSG00000025059
ENSMUSG00000029759
ENSMUSG00000031628
ENSMUSG00000001504
ENSMUSG00000015401
ENSMUSG00000041681
ENSMUSG00000067786
ENSMUSG00000061808
ENSMUSG00000000215
ENSMUSG00000031284
ENSMUSG00000035804
ENSMUSG00000027220
ENSMUSG00000036402
ENSMUSG00000020788
ENSMUSG00000027984
ENSMUSG00000005373
ENSMUSG00000032554
ENSMUSG00000078670
ENSMUSG00000008540
ENSMUSG00000040147
ENSMUSG00000027690
ENSMUSG00000034586
ENSMUSG00000027808
ENSMUSG00000022136
ENSMUSG00000023960
ENSMUSG00000031255
ENSMUSG00000005232
ENSMUSG00000034871
ENSMUSG00000029482
ENSMUSG00000025950
ENSMUSG00000118672
ENSMUSG00000027429
ENSMUSG00000057069
ENSMUSG00000029644
ENSMUSG00000027006
ENSMUSG00000037625
ENSMUSG00000027004
ENSMUSG00000026627
ENSMUSG00000022708
ENSMUSG00000025196
ENSMUSG00000029467
ENSMUSG00000024304
ENSMUSG00000025016
ENSMUSG00000023915
ENSMUSG00000060512
ENSMUSG00000026827
ENSMUSG00000036782
ENSMUSG00000066150
ENSMUSG00000021803
ENSMUSG00000037470
ENSMUSG00000036198
ENSMUSG00000041895
ENSMUSG00000032553
ENSMUSG00000031111
ENSMUSG00000028657
ENSMUSG00000025871
ENSMUSG00000039682
ENSMUSG00000042808
ENSMUSG00000028343
ENSMUSG00000027765
ENSMUSG00000025810
ENSMUSG00000022483
ENSMUSG00000021591
ENSMUSG00000033059
ENSMUSG00000029994
ENSMUSG00000027828
ENSMUSG00000040856
ENSMUSG00000039533
ENSMUSG00000037722
ENSMUSG00000039474
ENSMUSG00000015401
ENSMUSG00000041681
ENSMUSG00000067786
ENSMUSG00000061808
ENSMUSG00000000215
ENSMUSG00000031284
ENSMUSG00000035804
ENSMUSG00000027220
ENSMUSG00000036402
ENSMUSG00000020788
ENSMUSG00000027984
ENSMUSG00000005373
ENSMUSG00000032554
ENSMUSG00000078670
ENSMUSG00000008540
ENSMUSG00000040147
ENSMUSG00000027690
ENSMUSG00000034586
ENSMUSG00000027808
ENSMUSG00000022136
ENSMUSG00000023960
ENSMUSG00000031255
ENSMUSG00000005232
ENSMUSG00000034871
ENSMUSG00000029482
ENSMUSG00000025950
ENSMUSG00000118672
ENSMUSG00000027429
ENSMUSG00000057069
ENSMUSG00000029644
ENSMUSG00000027006
ENSMUSG00000037625
ENSMUSG00000027004
ENSMUSG00000026627
ENSMUSG00000022708
ENSMUSG00000025196
ENSMUSG00000029467
ENSMUSG00000024304
ENSMUSG00000025016
ENSMUSG00000023915
ENSMUSG00000060512
ENSMUSG00000026827
ENSMUSG00000036782
ENSMUSG00000066150
ENSMUSG00000021803
ENSMUSG00000037470
ENSMUSG00000036198
ENSMUSG00000041895
ENSMUSG00000032553
ENSMUSG00000031111
ENSMUSG00000028657
ENSMUSG00000025871
ENSMUSG00000039682
ENSMUSG00000042808
ENSMUSG00000028343
ENSMUSG00000027765
ENSMUSG00000025810
ENSMUSG00000022483
ENSMUSG00000021591
ENSMUSG00000033059
ENSMUSG00000029994
ENSMUSG00000027828
ENSMUSG00000040856
ENSMUSG00000039533
ENSMUSG00000037722
ENSMUSG00000039474
